INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2024-01-02T05:00:00-00:00,2024-01-02T06:00:00-00:00,0,2024-01-01,22,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-01-02T01:00:00-00:00,2024-01-02T02:00:00-00:00,0,2024-01-01,18,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-01-02T07:00:00-00:00,2024-01-02T08:00:00-00:00,0,2024-01-01,24,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-01-01T15:00:00-00:00,2024-01-01T16:00:00-00:00,0,2024-01-01,8,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-01-01T14:00:00-00:00,2024-01-01T15:00:00-00:00,0,2024-01-01,7,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-01-01T17:00:00-00:00,2024-01-01T18:00:00-00:00,0,2024-01-01,10,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-01-02T06:00:00-00:00,2024-01-02T07:00:00-00:00,0,2024-01-01,23,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-01-01T10:00:00-00:00,2024-01-01T11:00:00-00:00,0,2024-01-01,3,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-01-01T08:00:00-00:00,2024-01-01T09:00:00-00:00,0,2024-01-01,1,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
2024-01-01T11:00:00-00:00,2024-01-01T12:00:00-00:00,0,2024-01-01,4,0,ACTUAL,AVRN,Total Actual Hourly Integrated Load,SYS_FCST_ACT_MW,3.8,0,ACTUAL,2
